﻿﻿編號,﻿﻿後台景點編號,機關代碼,名稱,介紹內容,開放時間,郵遞區號,縣市,縣市別代碼,鄉鎮,地址,管理單位,電話,地理座標（緯度）,地理座標（經度）,停留時間,門票/收費,旅遊叮嚀,行車資訊,大眾運輸,停車資訊,官方網站,粉絲專頁,谷歌地點ID,服務設施,主題分類,認證分類,觀光局資訊標準格式分類
"90","634","387300000H","六寶公園","地點位於大雅區月祥路上，原為軍方用地，後經市府用心規劃活化，將原有鐵路運輸通道轉化為兼具休憩與美感的六寶公園。","全天","428","臺中市","66000","大雅區","月祥路","","04-25663316#300","24.2372","120.62602","1-2小時","免費","戶外活動請做好防雨、防曬措施。","中二高→沙鹿交流道→中清路四段→右轉月祥路→直走即可到達。","搭乘豐原客運或國光客運，於潭子加工區下車前往潭雅神自行車道。","路邊停車格。","","","","公廁、公車站、導盲磚","公園綠地、無障礙景點","","遊憩類、都會公園類"
"91","836","387300000H","潭子運動公園","這裡是朋友聯絡感情的佳處，當來台中找朋友時，在這花上一整天，努力揮灑汗水，在傍晚和假日，每項運動設施均可見運動的人們，整個運動公園充滿活力籃球場隨時可來場三對三鬥牛，而運動公園對面商店林立，運動累了、休息期間還可小憩、補充能量。","籃球場、溜冰場、羽球場、兒童遊戲區全天開放，其他需團體申請。","427","臺中市","66000","潭子區","勝利路138號","","","24.2096","120.70122","1-2小時","","","國道1號下豐原交流道→沿中山路前行→右轉潭興路三段→左轉勝利路即可到達","","","","","ChIJUbnWjXoXaTQR_6A_WbFdjRE","停車場、公廁、公車站、導盲磚、無障礙坡道、無障礙停車位","公園綠地、無障礙景點","","遊憩類、都會公園類"
"92","845","387300000H","龜殼生態公園","占地六公頃的龜殼公園，將原先優養化的淤塞水池疏導，注入活水，打造成生意盎然的生態池。同時重視生態保育的理念更是落實在夜間照明上，低光害不影響生態棲地，又同時兼顧了安全的公園照明，景觀步道在公園裡頭，讓民眾能更近距離的觀察豐富的濱海生態。園內的硬體設備，還包含了裝置藝術的設置，廁所等建築物利用木柵作區隔美化，豐富的生態發展，還有椅子、亭架的設置，另外還有頗具規模的露天活動表演場地，成為台中一大亮點。","","439","臺中市","66000","大安區","溫寮四號海堤","","","24.37134","120.58406","0.5-1小時","","","","","","","","ChIJa_KGGJoNaTQRh3y2EpKwOgg","無障礙廁所、無障礙坡道","公園綠地、無障礙景點","","生態類"
"93","1821","387300000H","馬卡龍公園","位於太平的馬卡龍公園，是一座與各年齡層和毛小孩都共融的公園，各個設施都是夢幻的馬卡龍色系。馬卡龍公園中最吸睛的是如漂浮於空中的遊戲塔及高度達11公尺的溜滑梯，遊戲塔內也設置多種挑戰攀爬設施，各項遊戲設施皆符合兒童遊戲場CNS國家標準，讓孩童在遊戲塔可以充分遊玩，家長也安心。遊戲塔開放時間為上午8時至晚上8時，歡迎民眾於開放時間前來體驗。","","411","臺中市","66000","太平區","環中東路四段19號","臺中市政府建設局","","24.146407","120.7127411","","","","","","","https://taichungmelody.taichung.gov.tw/ParkIntro/Park?ParkId=5caf8524-80ea-48e7-97c6-dae8b63107e4","","ChIJ-1iCUmsjaTQRnO7ipSYBqVk","停車場、公廁、無障礙廁所、無障礙坡道、無障礙停車位","公園綠地、無障礙景點","","都會公園類"
"94","786","387300000H","草悟道","草悟道，北起國立自然科學博物館、南至美術園道綠園道帶狀的都市空間架構，以及沿線的國立自然科學博物館、市民廣場、勤美誠品綠園道、藝文空間、國立臺灣美術館、美食街等活動結點，時而緊湊、時而靜謐的活動強度、氛圍與空間尺度，有濃有淡、有密有疏，如同書法裡「 行草 」般自然流暢的氣韻。 所謂行草，古人解釋為：「 計白當黑，首字領篇 ；左右揮灑，疏密相間；密不通風，寬可跑馬。 」 行草所架構之空間章法，係設計發想的起點，根據行草的律動與韻律，希冀將綠．園．道打造出都會特色空間。因設計上「 行草悟道 」的概念，另有「草悟道」的別稱，英文名稱則定名為「 Calligraphy Greenway 」。草悟道及周邊順遊景點推薦：","","403","臺中市","66000","西區","向上北路","","04-22289111#34000","24.14841","120.66478","1-3小時","","","","公車可搭乘1.至科博館站:48、86、159、300-308、323、324、325號2.英才公益路口:站51路3.經國園道站:107、27、81路4.公益中美街口站:23、72路5.美村忠誠路口:71、72路6.美村公益路口:71、23路7.市農會站:5、290 路","","","","ChIJh5VW1qY9aTQRgVpjgx_xu0s","遊客中心、販賣部、停車場、步道","公園綠地、樂齡專區","","藝術類、遊憩類、都會公園類"
"95","1999","387300000H","湖心亭","位於臺中公園內的「湖心亭」，是臺中市的重要地標與精神象徵。湖心亭坐落於日月湖中央，遊客可以進入亭內休憩，近距離欣賞日月湖的湖光水色與悠游的魚群。除了湖心亭，公園內還有許多珍貴的歷史建築與自然景觀，例如中正橋、中山橋、望月亭以及百年老樹，都非常適合步行參訪。若想體驗老臺中人的經典假日活動，可以在日月湖上划船，從湖面欣賞湖心亭的倒影，別有一番風情。若想深入了解湖心亭的歷史文化價值，園區於每月第 2、第 4 個週日的上午 10 點及下午 3 點提供預約導覽解說服務。此景點地理位置優越，距離臺中火車站步行僅約 10 分鐘，交通十分便利，是認識臺中歷史文化的理想去處。","星期二~星期日 07：00-19：00 (週一為清潔維護日不開放)","404","臺中市","66000","北區","自由路二段","","","24.14367458","120.6842029","","划船每小時 300 元，每船限乘 3 人","","","","","","","ChIJd4ZLdms9aTQRNvhSHJDrebA","公廁、觀景台、步道、導覽解說","公園綠地、歷史古蹟","",""
"96","127","387300000H","國定古蹟霧峰林家ˍ萊園","霧峰林宅，是在阿罩霧的園林與宅邸建築群的總稱。由頂厝、下厝及萊園等三大部分組成。 明台家商所在之『萊園』即由林氏舉人林文欽為侍奉其母親所建，後來以霧峰林家花園之名盛傳全台。林家花園由清領中期興建至今，經歷許多年代，建築風格變化也很大，到後期甚至出現中、西、和三式合壁的一些新建築及庭園。建立於1893年的台中霧峰林家花園，於921大地震中受到嚴重損毀，但林家花園為歷史文化重地，為了延續這意義重大的古厝，林家的後代子孫不斷持續的努力，希望能夠再次呈現林家花園的歷史原貌。早期林家花園為第一代主人林文欽先生為安養其母親羅太夫人而建造，目前位於明台高中的萊園，是座孝親之園，早期園中有12景，五桂樓為其最重要建築，據考證，五桂樓最早建於1887年，初稱「步蟾閣」，是閩南梢燕尾格局的兩層木造建築，一樓為客廳，二樓為羅太夫人起居室。而林家第二代主人林獻堂先生為發揚萊園精神的主角，1905年再次修建五桂樓，成為中西合璧式的風格建築，一樓為紅磚，具巴洛克式圓拱造型，二樓是木造建築，屋頂為傳統硬山型式頂，同時擁有西洋風及台灣味。而日治時期五桂樓更是櫟社詩人們吟詩唱和的聚會所、文化協會裡「夏季學校」的上課處、更是「一新會」、「一新義塾」的活動場域，是林先生聚首台灣精英、保留漢文化的重地。林獻堂文物紀念館於2000年成立，2019年擴大為霧峰林家花園林獻堂博物館。館舍位於霧峰林家花園-萊園(明台高中)內，目前展示林獻堂日記真跡、私人信件、書畫墨寶，以及早年老照片、傢俱服飾等珍貴文物。霧峰林家歷史猶如臺灣百年縮影，透過館藏展覽與推廣活動，讓民眾更能深入了解臺灣重要家族傳承之歷史文化。而921大地震後，經過十年的努力研究與堅持，霧峰林家花園得到文建會文化資產總管理處的支持與協助，終於可以修築萊園的五桂樓，修築的同時也聘任傳統大木匠師賴麒麟與雕刻師曹仁生、水泥匠師施坤益一同合作，採用台灣千年檜木與手工磚等珍貴建材，以現代科技和傳統工法修建五桂樓，目標再恢復1905年的風貌。","8:30~17:00","413","臺中市","66000","霧峰區","萊園路91號","","04-23393071#228","24.0615551","120.7031756","1-2.5小時","入園清潔費門票30元/人。","古蹟為開放式展示，請勿任意攀爬或破壞，並請維護園內清潔。個人可自行參訪，為維護參觀品質與教學區的寧靜，請勿喧嘩。教育文化團體（20人以上）參訪，請於參觀前完成預約確認：一、20人（含）以上教育文化團體，請於參觀前七日完成公文傳真或申請表（請至官網下載）預約，傳真專線：（04）2333-9875；預約專線：（04）2339-3071分機223或229。二、教育文化團體預約流程1.參觀前請先傳真（04-23339875）預約公文或申請表，內容含參訪單位、日期、時間、人數、聯絡方式。2.傳真公文後隔日以電話（04-23393071分機223）確認參觀時間、注意事項。3.完成預約準時報到參觀。","高速公路：國道3號於「霧峰交流道」下，左轉往霧峰市區方向，接中正路霧峰郵局右轉往明台高中。省道：台3線或中投公路丁台出口閘道至霧峰，接中正路往立法院中部辦公室方向，見指標往明台高中可到本園。","客運：台中客運50號、100號、103號、107號，由潭子、台中往省議會方向，聯營客運南投-台中、南投-豐原班次，在霧峰郵局前(中正路)下車，沿指標走約5分鐘即可到達。台灣高鐵：由高鐵台中站搭乘客運至台中火車站轉搭至明台高中。","林家花園停車場。","https://www.thelinfamily.org.tw/","https://www.facebook.com/TheLinFamilyMuseum","ChIJOykEME47aTQRUkLvtBbubW8","展示館、停車場、公廁、公車站","公園綠地、歷史古蹟、地方展館、特色文化","","文化類、古蹟類"
"97","942","387300000H","臺中國家歌劇院","臺中國家歌劇院造型前衛，以「美聲涵洞」概念，採用曲牆、孔洞與管狀等別具一格的設計，整棟建築完全沒有樑柱支撐，也無一處為90度牆面，顛覆了一般建築物的概念。歷經多年的建設，一座與人、與自然共生的劇場即將在臺中誕生。圓弧曲線，靜靜孵育眾人的期待；玻璃帷幕映著藍天，周邊環繞的綠地、流水成為城市的桃花源。「壺中居」歌劇院正面造型猶如曲線的酒壺，觀眾如酩酊般陶醉於節目的精彩，讚歎藝術無盡的可能壺面鑲有多個圓筒窗，夜晚隨燈光投射展現出優雅與溫暖．這裡是表演藝術的搖籃、是人們生活休憩與吸取新知的地方，更是中臺灣文化生活接受翻新的起點。這就是臺中國家歌劇院。美好的事物必經歷充足的準備，特別是一座把藝術、人文內化成生命的場館。1992年，臺灣省政府教育廳規劃「國立臺中音樂藝術中心」，之後變更為「國家音樂廳」，旨在替臺灣籌建具國際水準的表演藝術中心。場館規模及名稱經縝密修正，2005年，才由行政院文化建設委員會（今文化部）正式函文核定「臺中大都會歌劇院」興建工程。 興建工程既已底定，場館建築決議採國際競圖的方式由臺灣、日本、美國、英國、法國等13個國家（32位建築師）的建築團隊分成兩階段進行評選，最終由日本建築師——伊東豊雄脫穎而出。場館建築既然有了清晰的輪廓，長期的籌備亦早已儲備好足夠能量，歌劇院為臺灣國際級場館的營運方向確立。從設計之初到建築完工，歌劇院歷經了時光的淬鍊與嚴峻的考驗。在競圖階段，伊東豊雄採用前衛的設計觀點、挑戰既有的思考模式，預先構思建築的輪廓，再依表演特性將舞台置入曲牆中。第二階段則著重空間效益，檢視設計結構的可行方案，並創新連接大劇院與中劇院的前廳。最後根據歌劇院內部視覺、聽覺等感受，將動線進行微調，回歸到「人」與空間的互動，強調迴盪在「美聲涵洞」（Sound Cave）的藝術能量。表演藝術所要呈現的歡笑、憂傷與感動，都因此獲得渲染與加乘的效果。而臺中國家歌劇院共有58面曲牆，每面曲牆有1372片小係數，每一塊都要量身訂作，無法大規模量產，是一項必需精密計算的浩大工程。由於臺中國家歌劇院興建難度極高，因此被建築業界稱為「全球最難蓋的房子」，而「曲牆」建築工法更獲得建築工法的世界專利認證。 臺中國家歌劇院內部空間包含大型劇院（2007席）、中型劇院（794席）、小型劇場（200席），還有地下停車場及相關公共空間，建築週邊景觀設計也以美聲涵洞做整體規劃。歌劇院內的2014個座位，每個座位都能感受同樣的聽覺饗宴，也無視覺不良區，每個座位都能看見舞台。類似樹屋或洞窟的空間不是帶領人們回歸過去，而是利用現代的技術和建材，解放堅硬冷漠的環境，將線條直硬的城市輪廓，化為充滿生命力量的柔軟場域。環繞場館的流水及空中花園開放的意象，打破了舞台與觀眾、室內與室外的二元區分，重拾現代人逐漸遺失的環境感受力，創造更多人與建築、藝術對話的可能。 建築的「偉大」，不在於用多少鋼筋水泥與玻璃帷幕去構築巨型的輪廓。過去，人們會不顧一切地追求最高、最雄偉的建築，想要證明人定勝天的可能；如今，卻試圖找出與自然、環境共生的法則，回歸到生活的根本——關於「人」的感受。所有人其實都渴望傾訴故事、聆聽樂音、隨舞蹈的步伐律動身體、欣賞傳統藝術的絕代風華，這些，才是臺中國家歌劇院所引以為傲的「偉大」。 與自然共生，流暢的空間溫柔擁抱著人文藝術。如骨骼的圓弧曲牆與具穿透感的玻璃帷幕，太陽光自然灑落，風也能輕易流動；夜晚，這些孔洞則向外放射溫暖的光暈，臺中國家歌劇院的呼吸與生命於是誕生。另外臺中國家歌劇院有一處綠地公園，就連公園裡水溝也延伸至建築裡，打破了室內與室外的疆界。","週日、週二至週四 11:30-21:00  週五至週六及國定假日11:30-22:00 (週一休館)","407","臺中市","66000","西屯區","惠來路二段101號","","04-22511777","24.1626492","120.6403028","1-3小時","","","國道1號：台中中港交流道下往台中市方向，沿台灣大道直行，右轉惠來路二段約800公尺即可抵達。台74線/中彰快速公路：市政府出口下交流道後，沿台灣大道直行，右轉惠來路二段約800公尺即可抵達。台63線/中投公路：文心路往北屯路方向，左轉台灣大道，於惠來路二段右轉。","臺中市市區公車•	臺中國家歌劇院：60、69、75、150•	老虎城：18、49、60、75、150•	河南市政北二路口：27•	惠中路市政北三路口：5、199•	新光三越（臺灣大道）：5、33、48、57、73、77、83、86、88、151、151副、152、153、153副、168、169","請至路邊停車格停放，或至周邊惠安停車場(惠來路二段)、惠順停車場(市政北六路旁)","https://www.npac-ntt.org/index","https://www.facebook.com/npac.ntt/","","停車場、公廁、觀景台、公車站、解說簡報、網路","公園綠地、藝術空間","",""
"98","136","387300000H","豐樂雕塑公園","豐樂雕塑公園建於西元1994年，是一座立體雕塑公園，園區面積達6.4公頃，裡頭有人工湖、活動中心、森林步道、大綠草地、兒童遊憩區以及景觀瀑布，而湖上的拱橋建築與紅色屋頂的活動中心更成為豐樂雕塑公園的代表景觀。兼具藝術美感與休閒娛樂的豐樂雕塑公園，不但是附近居民的美麗後花園，也是許多外地遊客造訪台中的景點之一。平日公園裡，除了有民眾散步、運動外，活動中心展覽室、演藝廳、會議廳也經常舉辦音樂表演、藝術特展、講座等活動，另外也設有湖畔咖啡座與天鵝船，機能齊全、趣味生動，是親子同遊的好去處。","","408","臺中市","66000","南屯區","文心南五路331號","","04-35044259","24.13151","120.64334","1-2小時","","","由五權西路交流道下高速公路，往臺中市區方向直行至向心路右轉，過文心南五路即達。","臺中市公車統聯客運：53、73、85、159（但最近停站為文心南永春東路口）彰化客運：99豐榮客運：127台中客運：藍10","","","","ChIJF3SnnMo9aTQRAF0aZrgGcOc","停車場、公廁、公車站、無障礙廁所、無障礙坡道","公園綠地、藝術空間、戶外運動、無障礙景點","","文化類、藝術類、都會公園類"
"99","143","387300000H","國立台灣美術館","美術館的建築空間強調開闊性與現代感，造型簡潔方整，呈階梯遞降，以天然石片為主要外飾材料。開闊的園區陳列雕塑精品，並有蒐集台灣先賢書家之墨跡而成的碑林廣場。 南面以大片玻璃帷幕引進自然光，在館內形成光影嶙峋交錯的景象，建築體隨著時間與天候的變遷，處處可見光影的層次變化，使建築和天空渾然成為一體。國美館有系統策畫以臺灣美術發展為主軸的各類型展覽，同時致力於國際文化藝術交流。館內圖書資料中心、影音藝術廳、影音平台、教師資源室等學習及休閒空間，讓觀眾透過多元形式親近藝術、探索藝術。另有專為親子設置的兒童繪本區和兒童遊戲室，讓孩子在歡樂的學習環境中體驗玩中學、學中玩的手作互動。數位藝術方舟與資訊轉運站等空間，則讓民眾體驗數位藝術，感受到科技與人文結合的新世界。館內並設有精品店及古典玫瑰園、春水堂、秋山堂。此外，美術館前景致優雅的美術園道和綠園道，隨處可見歐風建築和日式庭園造景，兩側開設了許多具有獨特風味的餐廳與咖啡館，結合創意和異國佳餚的視覺與味蕾感受，置身其中立即讓人忘卻城市喧囂。徜徉於空間創造的藝廊，樂活悠游，在舉足之間體會異國風情綻放的無窮魅力，是遊客來此絕對不能錯過的景點。 展覽空間：一樓展覽室：特展、國際展、雙年展等當代藝術動脈展示空間。二樓展覽室：展出資深藝術家與新銳創作者作品。三樓展覽室：常設展示空間，回顧台灣美術發展史。美術街、水牛廳及下凹庭園廣場:可作多重組合的變化，提供跨領域的展演場域。108展覽室、時光天井、數位藝術方舟：主要展出數位藝術影音作品。","週二至週五 09:00～17:00週六、週日 09:00～18:00週一、除夕、初一休館","403","臺中市","66000","西區","五權西路一段2號","","04-23723552","24.141189","120.6626322","1-3小時","","定時導覽－每週二至周日 10：30、14：30•除部分特展外，本館免費入館參觀。•接受團體預約導覽。本館設有多項無障礙環境設施，包含：無障礙專用停車位、無障礙坡道(各入口處)、電(扶)梯及專用洗手間；服務台另設有友善櫃台，提供輪椅、博物館椅等友善設備之借用服務","◆高速公路-由北前往本館 國道3號→國道1號→台中交流道→台灣大道→右轉美村路→五權西路口→本館◆高速公路-由南前往本館1.國道1號：南屯交流道→五權西路口→美村路口→本館2.國道3號：中投交流道→中投快速道路→五權南路→五權路→五權西路口→美村路口→本館","市內公車統聯客運:23（美術館(美村路)）、56(美術館(五權西路))仁友客運:30(大墩文化中心(五權路))豐榮客運:40(大墩文化中心(五權路))、89(美術館(五權西路))11路環線(美術館(美村路))臺中火車站轉乘公車台中客運:71(美術館(五權西路))統聯客運:75(美術館(五權西路))全航客運:5	(大墩文化中心(英才路))臺中後火車站轉乘公車豐原客運:51(大墩文化中心 (英才路))高鐵接駁公車統聯客運:159(土庫停車場(國美館))","備有收費停車場","https://www.ntmofa.gov.tw/","https://www.facebook.com/ntmofa/?fref=ts","ChIJyVHkNqY9aTQRDilsyqDVfbg","展示館、販賣部、公共電話、停車場、公廁、公車站、解說簡報、網路、導盲磚、無障礙廁所、無障礙坡道、無障礙電梯、無障礙停車位","公園綠地、藝術空間、無障礙景點","","文化類、藝術類、遊憩類、都會公園類"
"100","971","387300000H","臺中文學館","臺中文學館原為日治時期警察宿舍，為活化歷史建築，於2016年8月26日全館開放，共有6棟館舍，包含常設館、主題特展館、研習講堂、主題餐廳、兒童文學區及行政中心。以「臺中文學」為主題，推廣在地文化，讓文學走進日常生活中。臺中文學館是臺中第一座以文學為主題之公立博物館，也是文青休閒好去處。位於柳川東路與自立街交會處的臺中文學公園，面積約2,887平方公尺，為臺中首座以文學為主題的公園，進入園區可見檜木搭建的古老日式建築，為1932年日治時期建造的警察宿舍群，原為面臨剷平拆除的廢墟，後來經過各方搶救被保存下來，103年開始進行修復工作，改建為臺中文學館，用以推廣在地文學家作品，培育市民文學涵養向下扎根，預計六棟館舍將規劃常設展、主題特展、兒童文學展、主題餐廳等，並舉辦相關的展演講座活動，拓展文學更多的可能性。漫步在園區，撲鼻而來的陣陣檜木香，映入眼簾的日式建築、古樸的木板迴廊及綠意的庭院造景，環境清幽恬靜，讓人有如置身於日本街頭的錯覺，是一處充滿日式建築與文學氣息的場域。園區中央豎立一棵令人驚豔的珍貴老榕樹，被視為來到臺中文學館必賞的風景，榕樹高達約3層樓高，因歷史悠久，形成特殊的氣根廊穴景觀，視覺上相當壯觀，吸引許多人在此處拍照留念，若是仔細觀察還會發現一臺前人所留下的腳踏車，被氣根盤根錯節包覆沒有拆除，使人深刻體會到景物依舊，物換星移、人事已非的感受。臺中文學公園除了如一般公園具備的綠美化植栽景觀外，還包含有樹影牆、書夾亭、種子文學廣場等文學元素的巧思設計，以及古代文人雅士雅用來吟詩罰酒助興的遊戲「曲水流觴」、磚牆鑲嵌不同大小位置的方框「老牆說書」、描寫臺中作家趙天儀的新詩《小草》「墨痕詩牆」，讓文學更貼近大家的生活之中，同時也推出定期導覽解說，帶領民眾認識公園的文化故事。此處鄰近不少特色景點如州廳、演武場、第五市場等地，可利用臺中市iBike公共自行車租借服務，漫遊體驗臺中城市之美。開放時間：週二至週日，10:00-17:00，(週一及國定假日休館)館舍地址：臺中市西區樂群街38號聯絡電話：04-22240875導覽解說：■有 □無 ■預約制(平日)預約電話：04-22240875★平日預約導覽：線上預約。其他服務：■ 文創小舖■ 餐飲品牌：NMU幸卉文學咖啡","文學公園 24小時開放；館舍開放時間：週二至週日10:00-17:00，週一及國定假日休館","403","臺中市","66000","西區","樂群街38號","","04-22240875","24.13924","120.67257","1-1.5小時","","","","","","http://www.tlm.taichung.gov.tw/","https://www.facebook.com/tiaichungliteraturemuseum","","展示館、停車場、解說簡報、無障礙廁所、無障礙坡道","公園綠地、藝術空間、歷史古蹟、無障礙景點","","文化類、古蹟類、藝術類"
"101","134","387300000H","國立臺灣體育運動大學體育場館","這裡提到的田徑場，在民國49年改制省立體育場，那時並無看臺，民國52年整修為標準藍曲式400公尺跑道，民國63年興建水泥看台，民國65年舉辦區運會，民國80年裝設夜間照明，在政府補助下，不斷整修、綠化、美化，後於民國93年更名為台中體育學院體育場。田徑場面積122,264平方公尺，可容納25,000人，建議遠道而來參加活動的朋友，將汽車停在三民路或一中街的停車場，步行至臺灣體育運動大學體育場館；公車族則至臺中體育場站下車即可抵達。","","404","臺中市","66000","北區","力行路271號","","04-22213108","24.1523855","120.689796","1-2小時","","","臺中火車站右行建國北路至雙十路即可抵達。","臺中客運8、14、15、32、34、36、100線，仁友客運1、2、21、31、61、105、20線可抵達。","","https://peoffice.ntus.edu.tw/index.php?code=list&ids=1351","","","公共電話、停車場、公廁、公車站","戶外運動","","體育健身類"
"102","800","387300000H","大坑粉紅情人橋","大坑情人橋不論正著看，倒著看，躺著看，遠看近看，白天或夜晚，這座大坑粉紅情人橋皆展現不同風情與樣貌，近看橋塔像是情人厚實的臂膀，遠看像是情人微笑時彎彎的眉。因為玻璃橋面的設計，到了夜晚，情人橋的倒影和橋本身即形成了一個大的愛心形狀，將來到這裡的人們，包裹於其中，也默默地為情人們表達心裡的濃情蜜意。 ","全天開放","406","臺中市","66000","北屯區","部子路366號","","","24.16647","120.72784","0.5-1小時","","","","","","","","ChIJuzvSchEYaTQRxP-bo-X9iGo","","戶外運動","","遊憩類"
"103","1407","387300000H","台中港區運動公園","玩賞攻略◼️台中最美的運動公園◼️國際級正規滑輪溜冰場 港區運動公園建築外觀為藍白色，搭配鮮豔的滑輪溜冰場跑道，吸引民眾在戶外拍照打卡。運動公園規劃有以下設施戶外 / 直排輪溜冰場1F / 服務櫃台、販賣部、體適能中心2F / 運動復健診所、TRX教室3F / 韻律教室、飛輪教室、桌球場、空中瑜珈教室4F / 羽球場其中最大特色為設置台灣首座大型國際級正規滑輪溜冰場發揮場館最大效益，提供海線地區民眾多元休閒運動場所。","06:00-22:00","433","臺中市","66000","沙鹿區","自強路301號","","04-26351013","24.20565","120.57665","1-2.5小時","","","","","","https://kangchu.com.tw/","","ChIJAQQonXEVaTQRQ9nSjn4sYZ0","停車場、公廁、公車站、無障礙廁所、無障礙坡道、無障礙停車位","戶外運動","","都會公園類"
